"統一編號","商業名稱","商業地址","登記狀態"
"15551895","狗仔屋寵物美容工作室","新北市新店區安康路２段４６之１號１樓","歇業／撤銷"
"15553129","恬恬寵物店","新北市永和區成功路２段１９５號１樓","停業"
"15559427","酷犬辣貓寵物店","新北市三重區龍門路１８３號","歇業／撤銷"
"15599547","群郁寵物專賣店","雲林縣虎尾鎮立仁里林森路二段二０二號一樓","歇業／撤銷"
"15680618","瑞泰鳥店","臺中市大肚區瑞井里遊園路二段一六六號","核准設立"
"15680954","大旺寵物店","臺中市太平區新坪里育德路１１９號","歇業／撤銷"
"15682849","漁夫水族寵物世界坊","臺中市大甲區庄美里信義路１５號﹝限１樓﹞","核准設立"
"15703176","派特寵物坊","屏東縣屏東市大連里廣東路四五四號一樓","核准設立"
"15720153","文化寵物鳥店","臺南市東區崇學里中華東路3段286號1樓","歇業／撤銷"
"15722271","喵喵窩寵貓專賣店","臺南市中西區西門路2段233號1樓","歇業／撤銷"
"15725679","舜城商號","臺南市東區龍山里東門路2段114號1樓","廢止"
